"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
7.580403250E-1;-5.754709244E-3;-1.442918777E-1;-1.300072670E-2
7.675132420E-1;-1.120197773E-2;-7.045269012E-2;1.925723553E-1
7.769861590E-1;1.914024353E-1;9.437561035E-3;3.056651354E-1
7.864590750E-1;4.427684546E-1;6.700134277E-2;1.797425747E-1
7.959319920E-1;6.682564020E-1;3.658294678E-2;1.155607700E-1
8.054049610E-1;6.418262124E-1;-7.800769806E-2;-7.603764534E-3
8.148778770E-1;4.272359610E-1;-2.069435120E-1;-1.430058479E-2
8.243507940E-1;1.061896086E-1;-1.428422928E-1;9.031498432E-2
8.338237110E-1;-1.899898052E-1;9.699821472E-3;2.187523842E-1
8.432966270E-1;-3.110079765E-1;7.495594025E-2;2.525994778E-1
8.527695440E-1;-2.410300970E-1;2.610206604E-3;1.465058327E-1
8.622425130E-1;-6.317436695E-2;-8.725261688E-2;1.550703049E-1
8.717154290E-1;-2.227544785E-2;-1.685190201E-1;3.588424921E-1
8.811883460E-1;-1.463937759E-2;-1.353044510E-1;3.005229235E-1
8.906612630E-1;2.694021463E-1;-5.534267426E-2;1.468110085E-1
9.001341790E-1;4.614132643E-1;1.433277130E-1;-1.738590002E-1
9.096071480E-1;5.333845615E-1;2.325229645E-1;-4.020317793E-1
9.190800650E-1;4.239416122E-1;2.046957016E-1;-6.074243784E-1
9.285529810E-1;1.366997957E-1;9.710216522E-2;-5.461401939E-1
9.380258980E-1;-3.062605858E-1;1.466560364E-2;-3.076012135E-1
9.474988150E-1;-6.965942383E-1;-8.763599396E-2;2.502250671E-2
9.569717840E-1;-8.085629940E-1;-9.872341156E-2;3.630046844E-1
9.664447000E-1;-6.632347107E-1;-6.011486053E-2;4.355151653E-1
9.759176170E-1;-2.508395910E-1;-7.918357849E-3;3.178061247E-1
9.853905340E-1;2.258822918E-1;3.641891479E-2;1.146309376E-1
9.948634500E-1;6.306101084E-1;6.355953217E-2;-7.288610935E-2
1.004336367E0;7.727797627E-1;1.183195114E-1;-3.439691067E-1
1.013809336E0;6.099631190E-1;1.179113388E-1;-4.403944016E-1
1.023282252E0;1.929500103E-1;4.218578339E-2;-2.311621904E-1
1.032755169E0;-4.006799459E-1;3.361988068E-2;1.908528805E-2
1.042228086E0;-7.436870337E-1;6.522655487E-2;2.668336630E-1
1.051701002E0;-7.625175714E-1;7.507038116E-2;3.491941690E-1
1.061173971E0;-5.118834972E-1;-2.121639252E-2;2.311750650E-1
1.070646888E0;-1.253193617E-1;-1.510591507E-1;9.334278107E-2
1.080119804E0;3.099257946E-1;-1.749782562E-1;-2.826333046E-2
1.089592721E0;6.749612689E-1;-1.324243546E-1;-7.939231396E-2
1.099065638E0;9.503185749E-1;-6.674957275E-2;-1.951249838E-1
1.108538554E0;1.114713192E0;3.592205048E-2;-2.377804518E-1
1.118011523E0;1.099331617E0;3.607559204E-2;-2.673379183E-1
1.127484440E0;1.116825104E0;-5.989265442E-2;-2.466382980E-1
1.136957356E0;1.068315625E0;-1.490879059E-1;-2.709282637E-1
1.146430273E0;9.809771776E-1;-2.127618790E-1;-2.853946686E-1
1.155903190E0;8.622493744E-1;-2.231445312E-1;-2.361950874E-1
1.165376159E0;8.253314495E-1;-1.717557907E-1;-1.998014450E-1
1.174849075E0;8.647059798E-1;-1.136331558E-1;-2.111377716E-1
1.184321992E0;9.462409019E-1;-5.822849274E-2;-5.723512173E-2
1.193794909E0;8.994158506E-1;2.508544922E-2;-4.206192493E-2
1.203267825E0;1.060030222E0;-3.332424164E-2;-1.032912731E-2
1.212740742E0;1.232351065E0;-8.024597168E-2;2.361178398E-2
1.222213659E0;1.372258663E0;-2.121887207E-1;2.684080601E-2
1.231686627E0;1.621725321E0;-4.507761002E-1;1.030713320E-1
1.241159544E0;1.905212522E0;-5.254020691E-1;1.194140911E-1
1.250632461E0;2.323799610E0;-3.945484161E-1;2.557133436E-1
1.260105377E0;2.850320816E0;-5.496025085E-3;4.734093547E-1
1.269578294E0;3.305277824E0;6.106929779E-1;5.547278523E-1
1.279051263E0;4.015160561E0;6.291360855E-1;5.012204647E-1
1.288524179E0;4.170941353E0;6.916093826E-1;1.938230991E-1
1.297997096E0;3.606033325E0;1.018048286E0;-1.138329506E-3
1.307470013E0;2.792207241E0;1.306924820E0;-6.342864037E-2
1.316942929E0;2.129766941E0;1.284212112E0;-7.308757305E-1
1.326415846E0;1.390205383E0;1.566557884E0;-9.559699297E-1
1.335888763E0;1.721670628E-1;2.393199921E0;-3.232222795E-1
1.345361731E0;-3.585803509E-1;2.674304008E0;2.941203117E-2
1.354834648E0;5.525350571E-2;2.604429245E0;1.062591076E-1
1.364307565E0;4.585340023E-1;2.967034340E0;-1.863031387E-1
1.373780481E0;8.881347179E-1;3.760288239E0;-1.437608004E-1
1.383253398E0;1.303210020E0;4.249269485E0;-5.319850445E-1
1.392726315E0;1.841189742E0;4.049482346E0;-9.263240099E-1
1.402199284E0;1.963757396E0;3.368428230E0;-1.017008781E0
1.411672200E0;1.692028761E0;2.426711082E0;-8.114916086E-1
1.421145117E0;1.305835962E0;1.522911072E0;-6.555882692E-1
1.430618034E0;1.077535152E0;9.305057526E-1;-6.286802292E-1
1.440090950E0;1.043824196E0;9.272251129E-1;-6.644899845E-1
1.449563867E0;1.335356712E0;1.336316109E0;-4.624149799E-1
1.459036836E0;1.870297909E0;1.502445221E0;-3.941392899E-2
1.468509752E0;2.246966600E0;1.051835060E0;5.149149895E-2
1.477982669E0;2.142829418E0;2.176694870E-1;-2.451241016E-2
1.487455586E0;1.784324884E0;-5.337305069E-1;2.744803429E-1
1.496928502E0;1.295428991E0;-9.898943901E-1;7.808154225E-1
1.506401419E0;7.890083790E-1;-1.111247063E0;1.118280530E0
1.515874336E0;2.927536964E-1;-1.142765045E0;1.193867445E0
1.525347304E0;-2.306866646E-2;-9.721355438E-1;9.347592592E-1
1.534820221E0;2.134180069E-2;-6.152505875E-1;8.390069008E-1
1.544293138E0;2.790946960E-1;-2.950124741E-1;9.060711861E-1
1.553766054E0;3.276956081E-1;-6.019210815E-2;8.832255006E-1
1.563238971E0;1.366615295E-1;2.323913574E-2;9.401760697E-1
1.572711888E0;-1.799809933E-1;-1.031274796E-1;1.120785236E0
1.582184804E0;-4.077267647E-1;-4.039926529E-1;1.281007886E0
1.591657773E0;-5.592455864E-1;-7.489919662E-1;1.315887690E0
1.601130690E0;-7.397708893E-1;-8.705358505E-1;1.170774937E0
1.610603606E0;-8.130970001E-1;-7.500419617E-1;9.860218763E-1
1.620076523E0;-8.029844761E-1;-3.738183975E-1;7.767733335E-1
1.629549440E0;-6.776046753E-1;-8.513259888E-2;6.243211627E-1
1.639022356E0;-5.260274410E-1;-6.584358215E-2;4.589974880E-1
1.648495273E0;-3.156955242E-1;-2.803783417E-1;3.997592926E-1
1.657968242E0;-3.563477993E-1;-5.650367737E-1;2.855355740E-1
1.667441159E0;-4.839398861E-1;-7.762537003E-1;4.024542570E-1
1.676914075E0;-9.148838520E-1;-8.526496887E-1;5.690759420E-1
1.686386992E0;-1.421016455E0;-8.402185440E-1;7.551901340E-1
1.695859909E0;-1.793799043E0;-7.297830582E-1;8.150641322E-1
1.705332825E0;-1.889317989E0;-4.812011719E-1;7.355435491E-1
1.714805742E0;-1.825923562E0;-2.974548340E-1;7.156615257E-1
1.724278711E0;-1.899725914E0;-9.491062164E-2;7.837573290E-1
1.733751627E0;-1.913513184E0;-1.642074585E-1;8.254473209E-1
1.743224544E0;-2.058126450E0;-4.897174835E-1;7.468845844E-1
1.752697461E0;-2.272084236E0;-6.750888824E-1;6.548285484E-1
1.762170377E0;-2.287454605E0;-8.860244751E-1;5.675931573E-1
1.771643294E0;-2.143717051E0;-1.015515327E0;5.002459288E-1
1.781116211E0;-1.691344976E0;-1.221679688E0;4.190621376E-1
1.790589179E0;-1.209381580E0;-1.531350136E0;1.985228062E-1
